date_assumed_office,name,office_title,party
1997,Jack Reed,U.S. Senate Rhode Island,Democratic Party
2003,Lindsey Graham,U.S. Senate South Carolina,Republican Party
,Richard Burr,U.S. Senate North Carolina,Republican Party
2011,Pat Toomey,U.S. Senate Pennsylvania,Republican Party
2003,Lamar Alexander,U.S. Senate Tennessee,Republican Party
,Shelley Moore Capito,U.S. Senate West Virginia,Republican Party
2007,Bob Corker,U.S. Senate Tennessee,Republican Party
,Todd C. Young,U.S. Senate Indiana,Republican Party
1997,Pat Roberts,U.S. Senate Kansas,Republican Party
,Chris Coons,U.S. Senate Delaware,Democratic Party
,Ben Sasse,U.S. Senate Nebraska,Republican Party
2015,Bill Cassidy,U.S. Senate Louisiana,Republican Party
,Gary Peters,U.S. Senate Michigan,Democratic Party
,John Neely Kennedy,U.S. Senate Louisiana,Republican Party
,Maggie Hassan,U.S. Senate New Hampshire,Democratic Party
,Bob Menendez,U.S. Senate New Jersey,Democratic Party
,Tammy Duckworth,U.S. Senate Illinois,Democratic Party
,Thom Tillis,U.S. Senate North Carolina,Republican Party
,Dick Durbin,U.S. Senate Illinois,Democratic Party
,David Perdue,U.S. Senate Georgia,Republican Party
,Mark Warner,U.S. Senate Virginia,Democratic Party
,Orrin Hatch,U.S. Senate Utah,Republican Party
,Daniel S. Sullivan,U.S. Senate Alaska,Republican Party
,Doug Jones,U.S. Senate Alabama,Democratic Party
2012,Brian E. Schatz,U.S. Senate Hawaii,Democratic Party
,Chuck Schumer,U.S. Senate New York,Democratic Party
1981,Chuck Grassley,U.S. Senate Iowa,Republican Party
,Steve Daines,U.S. Senate Montana,Republican Party
,Chris Van Hollen,U.S. Senate Maryland,Democratic Party
2009,Michael Bennet,U.S. Senate Colorado,Democratic Party
1995,Jim Inhofe,U.S. Senate Oklahoma,Republican Party
2011,Jerry Moran,U.S. Senate Kansas,Republican Party
2009,Jeff Merkley,U.S. Senate Oregon,Democratic Party
,Jeanne Shaheen,U.S. Senate New Hampshire,Democratic Party
2011,Rob Portman,U.S. Senate Ohio,Republican Party
2010,Ron Johnson,U.S. Senate Wisconsin,Republican Party
,Ron Wyden,U.S. Senate Oregon,Democratic Party
2013,Jeff Flake,U.S. Senate Arizona,Republican Party
2018,Tina Smith,U.S. Senate Minnesota,Democratic Party
,Susan Collins,U.S. Senate Maine,Republican Party
2015,Cory Gardner,U.S. Senate Colorado,Republican Party
,Tom Cotton,U.S. Senate Arkansas,Republican Party
,Christopher S. Murphy,U.S. Senate Connecticut,Democratic Party
,Tom Carper,U.S. Senate Delaware,Democratic Party
,Bill Nelson,U.S. Senate Florida,Democratic Party
,Mazie K. Hirono,U.S. Senate Hawaii,Democratic Party
2013-01-03,Joe Donnelly,U.S. Senate Indiana,Democratic Party
,Tom Udall,U.S. Senate New Mexico,Democratic Party
,Debbie Stabenow,U.S. Senate Michigan,Democratic Party
,Amy Klobuchar,U.S. Senate Minnesota,Democratic Party
,Claire McCaskill,U.S. Senate Missouri,Democratic Party
,Dean Heller,U.S. Senate Nevada,Republican Party
,Martin Heinrich,U.S. Senate New Mexico,Democratic Party
,Kirsten Gillibrand,U.S. Senate New York,Democratic Party
,Heidi Heitkamp,U.S. Senate North Dakota,Democratic Party
2007,Bob Casey Jr.,U.S. Senate Pennsylvania,Democratic Party
,Ted Cruz,U.S. Senate Texas,Republican Party
2001,Maria Cantwell,U.S. Senate Washington,Democratic Party
,Tammy Baldwin,U.S. Senate Wisconsin,Democratic Party
2007,John Barrasso,U.S. Senate Wyoming,Republican Party
2011,Mike Lee,U.S. Senate Utah,Republican Party
2007,Ben Cardin,U.S. Senate Maryland,Democratic Party
2003-01-03,John Cornyn,U.S. Senate Texas,Republican Party
,Deb Fischer,U.S. Senate Nebraska,Republican Party
1992,Dianne Feinstein,U.S. Senate California,Democratic Party
,Roy Blunt,U.S. Senate Missouri,Republican Party
,Jon Tester,U.S. Senate Montana,Democratic Party
1985,Mitch McConnell,U.S. Senate Kentucky,Republican Party
1987,John McCain,U.S. Senate Arizona,Republican Party
2011,John Boozman,U.S. Senate Arkansas,Republican Party
1997,Mike Enzi,U.S. Senate Wyoming,Republican Party
,Mike Crapo,U.S. Senate Idaho,Republican Party
,Roger Wicker,U.S. Senate Mississippi,Republican Party
,Joni Ernst,U.S. Senate Iowa,Republican Party
2007,Sherrod Brown,U.S. Senate Ohio,Democratic Party
,Cory Booker,U.S. Senate New Jersey,Democratic Party
,Kamala D. Harris,U.S. Senate California,Democratic Party
,Catherine Cortez Masto,U.S. Senate Nevada,Democratic Party
2005,John Thune,U.S. Senate South Dakota,Republican Party
2013-01-03,Elizabeth Warren,U.S. Senate Massachusetts,Democratic Party
,Jim Risch,U.S. Senate Idaho,Republican Party
2011,John Hoeven,U.S. Senate North Dakota,Republican Party
,Tim Kaine,U.S. Senate Virginia,Democratic Party
,Joe Manchin III,U.S. Senate West Virginia,Democratic Party
,Mike Rounds,U.S. Senate South Dakota,Republican Party
,Johnny Isakson,U.S. Senate Georgia,Republican Party
,Marco Rubio,U.S. Senate Florida,Republican Party
,Patrick Leahy,U.S. Senate Vermont,Democratic Party
1987,Richard Shelby,U.S. Senate Alabama,Republican Party
,Ed Markey,U.S. Senate Massachusetts,Democratic Party
2003,Lisa Murkowski,U.S. Senate Alaska,Republican Party
,Richard Blumenthal,U.S. Senate Connecticut,Democratic Party
2011,Rand Paul,U.S. Senate Kentucky,Republican Party
2013,Tim Scott,U.S. Senate South Carolina,Republican Party
2007,Sheldon Whitehouse,U.S. Senate Rhode Island,Democratic Party
,James Lankford,U.S. Senate Oklahoma,Republican Party
1993,Patty Murray,U.S. Senate Washington,Democratic Party
2018-04-01,Cindy Hyde-Smith,U.S. Senate Mississippi,Republican Party
,Vicente González,U.S. House Texas District 15,Democratic Party
1990,Eleanor Holmes Norton,U.S. House District of Columbia At-large District,Democratic Party
2019-01-03,Gene Green,U.S. House Texas District 29,Democratic Party
,Ileana Ros-Lehtinen,U.S. House Florida District 27,Republican Party
,Raul Labrador,U.S. House Idaho District 1,Republican Party
1991,Sam Johnson,U.S. House Texas District 3,Republican Party
,Ralph Norman,U.S. House South Carolina District 5,Republican Party
,Sandy Levin,U.S. House Michigan District 9,Democratic Party
2017,Ruben J. Kihuen,U.S. House Nevada District 4,Democratic Party
,Carol Shea-Porter,U.S. House New Hampshire District 1,Democratic Party
,Dave Reichert,U.S. House Washington District 8,Republican Party
,Jeb Hensarling,U.S. House Texas District 5,Republican Party
2001,Bill Shuster,U.S. House Pennsylvania District 9,Republican Party
,John Curtis,U.S. House Utah District 3,Republican Party
,Ron Estes,U.S. House Kansas District 4,Republican Party
1993,Edward Royce,U.S. House California District 39,Republican Party
2015,David Trott,U.S. House Michigan District 11,Republican Party
2011,Diane Black,U.S. House Tennessee District 6,Republican Party
,Luis V. Gutierrez,U.S. House Illinois District 4,Democratic Party
2011,Kristi L. Noem,U.S. House South Dakota At-large District,Republican Party
,Gwen Moore,U.S. House Wisconsin District 4,Democratic Party
,Markwayne Mullin,U.S. House Oklahoma District 2,Republican Party
2009,Jared Polis,U.S. House Colorado District 2,Democratic Party
,Stacey Plaskett,U.S. House U.S. Virgin Islands At-large District,Democratic Party
,Steve Pearce,U.S. House New Mexico District 2,Republican Party
,Luke Messer,U.S. House Indiana District 6,Republican Party
2011,Jim Renacci,U.S. House Ohio District 16,Republican Party
2011,Lou Barletta,U.S. House Pennsylvania District 11,Republican Party
2003,Marsha Blackburn,U.S. House Tennessee District 7,Republican Party
2003,Mike Rogers,U.S. House Alabama District 3,Republican Party
1973,Don Young,U.S. House Alaska At-large District,Republican Party
